client_name,note,created,products
Fernanda,"Sem arroz, por favor",2024-03-18,"Assado de Panela (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-03-18,"Bife ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
nathanaelbryan,"Por favor, diminuir o arroz e caprichar no feijão e na salada. Obrigado! ",2024-03-18,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Andreiver,,2024-03-18,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Fernanda,"Sem arroz, por favor",2024-03-15,"Churrasco misto (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-03-15,"Churrasco misto (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-03-15,"Churrasco misto (x1), Baião (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,"Por favor, caprichar no feijão e na salada e diminuir o arroz",2024-03-15,"Assado de Panela (x1), Baião (x1), Feijão (x1), Salada verde (x1)"
Marciela,Otima sexta,2024-03-15,"Churrasco misto (x1), Baião (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Duda,,2024-03-15,"Churrasco misto (x1), Baião (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,Sem Vinagrete. O resto dos acompanhamentos pode mandar :),2024-03-15,Churrasco misto (x1)
Eric,,2024-03-15,"Churrasco misto (x1), Baião (x1), Salada verde (x1)"
Beto,,2024-03-14,"Strogonoff de frango (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,"Por favor, diminua o arroz e capriche no feijão e na salada",2024-03-14,"Bife acebolado (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
danilo,,2024-03-14,"Bife acebolado (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Marciela,Otimo dia 😊,2024-03-14,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Duda,"Por favor, sem feijao. ",2024-03-14,"Strogonoff de frango (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,"Sem arroz, por favor",2024-03-14,"Bife acebolado (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-03-14,"Frango assado no forno (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-03-14,"Bife acebolado (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-03-14,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Andreiver,,2024-03-13,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Salada de maionese (x1), Salada verde (x1)"
Duda,,2024-03-13,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada de maionese (x1)"
Marciela,,2024-03-13,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada de maionese (x1), Salada verde (x1)"
Fernanda,Apenas macarrão. ,2024-03-13,"Assado de Panela (x1), Feijão (x1), Macarrão (x1), Salada de maionese (x1), Salada verde (x1)"
francivaldo4334,,2024-03-13,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-03-13,"Assado de Panela (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,"Por favor, caprichar no feijão e na salada e diminuir o arroz.",2024-03-13,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada de maionese (x1), Salada verde (x1)"
Beto,,2024-03-13,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-03-12,"Fígado acebolado (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Duda,,2024-03-12,"Porco ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-03-12,"Picadinho de carne (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,"Por favor, caprichar no feijão e na salada e diminuir o arroz",2024-03-12,"Porco ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
Marciela,Otimo dia ,2024-03-12,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-03-12,"Bife ao molho (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-03-12,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-03-12,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
gabriel,,2024-03-11,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,"Por favor, capriche na salada e no feijão e diminua o arroz.",2024-03-11,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Marciela,"Otimo semana!! Obrigado pelo mimo, amei ♡",2024-03-11,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-03-11,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-03-11,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-03-11,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-03-11,"Galinha ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-03-11,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Duda,,2024-03-11,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,Sem vinagrete,2024-03-08,Churrasco misto (x1)
francivaldo4334,,2024-03-08,"Churrasco misto (x1), Arroz branco (x1), Completo (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-03-08,"Churrasco misto (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-03-08,"Churrasco misto (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Duda,"Por favor, caprichar na salada. 💝💝💝💝",2024-03-08,"Churrasco misto (x1), Completo (x1)"
Marciela,Feliz dia das Mulheres 🌷,2024-03-08,"Churrasco misto (x1), Completo (x1)"
Fernanda,,2024-03-08,"Churrasco misto (x1), Completo (x1)"
gabriel,,2024-03-08,"Churrasco misto (x1), Completo (x1)"
gabriel,,2024-03-07,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,"Por favor, pouco arroz e
Caprichar no feijão e principalmente na Salada",2024-03-07,"Carneiro ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
Fernanda,,2024-03-07,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-03-07,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
danilo,,2024-03-07,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Duda,,2024-03-07,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-03-07,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Marciela,Ótima Quinta! Ontem esqueceram de nós mandar as farofas!,2024-03-07,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-03-07,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-03-07,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-03-06,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-03-06,"Lasanha de carne (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-03-06,"Lasanha de carne (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Marciela,Ótima quarta,2024-03-06,"Lasanha de carne (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
gabriel,"Por favor, se a salada tiver repolho, não enviar, colocar POUCO molho da carne",2024-03-06,"Assado de Panela (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-03-06,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,"Por favor, se possível, coloque pouco arroz e capriche no feijão e principalmente na salada",2024-03-06,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
Andreiver,,2024-03-06,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Eric,,2024-03-05,"Picadinho de carne (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-03-05,"Picadinho de carne (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-03-05,"Picadinho de carne (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,"Por favor, caprichar na salada!",2024-03-05,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
Marciela,Ótima semana!,2024-03-05,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-03-05,"Picadinho de carne (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-03-05,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
capitaobarbie,,2024-03-05,"Galinha ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
gabriel,,2024-03-05,"Picadinho de carne (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-03-04,"Frango ao molho (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Fernanda,,2024-03-04,"Bife ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Eric,,2024-03-04,"Frango ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-03-04,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-03-04,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Duda,,2024-03-04,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,"Se possível, caprichar na salada ",2024-03-04,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
Marciela,Ótima Semana!!,2024-03-04,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
gabriel,,2024-03-04,"Assado de Panela (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
gabriel,,2024-03-01,"Churrasco misto (x1), Completo (x1)"
francivaldo4334,,2024-03-01,"Churrasco misto (x1), Completo (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Marciela,Feliz Sexta feira ,2024-03-01,"Churrasco misto (x1), Completo (x1)"
nathanaelbryan,,2024-03-01,"Churrasco misto (x1), Baião (x1), Farofa (x1), Feijão (x1), Salada verde (x1), Vinagrete (x1)"
Eric,,2024-03-01,"Churrasco misto (x1), Baião (x1), Feijão (x1), Macarrão (x1), Salada verde (x1), Vinagrete (x1)"
Fernanda,,2024-03-01,"Churrasco misto (x1), Completo (x1)"
Andreiver,Sem vinagrete,2024-03-01,Churrasco misto (x1)
Beto,,2024-03-01,"Churrasco misto (x1), Baião (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1), Vinagrete (x1)"
capitaobarbie,,2024-03-01,"Churrasco misto (x1), Baião (x1), Completo (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1), Vinagrete (x1)"
gabriel,,2024-02-29,"Frango ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
capitaobarbie,,2024-02-29,"Frango ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-02-29,"Lasanha de frango (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-02-29,"Lasanha de frango (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Marciela,Ótimo dia!!,2024-02-29,"Lasanha de carne (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,,2024-02-29,"Frango ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
Eric,,2024-02-29,"Frango ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-02-29,"Frango ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Duda,,2024-02-29,"Fígado acebolado (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-02-29,"Lasanha de frango (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
gabriel,,2024-02-28,"Assado de Panela (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Marciela,ótimo dia!! Super obrigado pelo limao!!,2024-02-28,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-02-28,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Duda,"por favor, se tiver pirão eu aceito. pode ser do cozidao ou do peixe kkk  ",2024-02-28,"Peixe ao molho de camarão (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-02-28,"Cozidão (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-02-28,"Peixe ao molho de camarão (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
capitaobarbie,,2024-02-28,"Peixe ao molho de camarão (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-02-28,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
francivaldo4334,,2024-02-28,"Peixe ao molho de camarão (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
capitaobarbie,,2024-02-27,"Galinha ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
ArchMoon,,2024-02-27,"Porco ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
matheus_tech,,2024-02-27,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
leonardo,,2024-02-27,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1)"
marcos,"se possível, colocar só pedaços de peito de frango mesmo, sem ser asa ou outros pedaços.",2024-02-27,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
danilo,,2024-02-27,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
francivaldo4334,,2024-02-27,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-02-27,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Beto,,2024-02-27,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Fernanda,,2024-02-27,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Duda,"pode caprichar no macarrão, por favor. ",2024-02-27,"Porco ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
gabriel,,2024-02-27,"Galinha ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Marciela,Ótimo dia! Seria possivel me enviar um limao. De ja agradeço,2024-02-27,"Peixe Frito (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-02-27,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-02-26,"Carne cozida com batata (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-02-26,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Duda,,2024-02-26,"Carne cozida com batata (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
gabriel,,2024-02-26,"Carne cozida com batata (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-02-26,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-02-26,"Carne cozida com batata (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Marciela,Ótima semana ,2024-02-26,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-02-26,"Galinha ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-02-23,"Churrasco misto (x1), Completo (x1)"
gabriel,,2024-02-23,"Churrasco misto (x1), Completo (x1)"
Eric,,2024-02-23,"Churrasco misto (x1), Baião (x1), Farofa (x1), Macarrão (x1), Salada verde (x1)"
danilo,Somente carne e frango,2024-02-23,"Churrasco misto (x1), Completo (x1)"
nathanaelbryan,,2024-02-23,"Churrasco misto (x1), Baião (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
Beto,,2024-02-23,"Churrasco misto (x1), Baião (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-02-23,"Churrasco misto (x1), Baião (x1), Completo (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Marciela,ótima sexta!!,2024-02-23,"Churrasco misto (x1), Completo (x1)"
Andreiver,Sem vinagrete,2024-02-23,Churrasco misto (x1)
Duda,,2024-02-23,"Churrasco misto (x1), Baião (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-02-22,"Cozidão (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Marciela,ótimo dia,2024-02-22,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-02-22,"Cozidão (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
francivaldo4334,,2024-02-22,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Duda,,2024-02-22,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-02-22,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
capitaobarbie,,2024-02-22,"Porco assado na panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-02-22,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
gabriel,,2024-02-22,"Frango assado no forno (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-02-21,"Frango ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Marciela,"Otimo dia!! Moça queria muito lhe pedir so hoje para colocar o feijão no saquinho. Pode ser no saquinho igual o da farofa, esta otimoooo!! Agradecida!",2024-02-21,"Lasanha de carne (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
Beto,,2024-02-21,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Duda,"Pode caprichar no macarrão, por favor. ",2024-02-21,"Lasanha de carne (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-02-21,"Lasanha de frango (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada verde (x1)"
gabriel,,2024-02-21,"Bife ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-02-21,"Bife ao molho (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Eric,,2024-02-21,"Lasanha de frango (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
capitaobarbie,,2024-02-21,"Lasanha de frango (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
gabriel,"Se tiver repolho na salada, não enviar",2024-02-20,"Assado de Panela (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-02-20,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,,2024-02-20,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
Beto,,2024-02-20,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Marciela,,2024-02-20,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-02-20,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Duda,Sem feijão por favor.,2024-02-20,"Assado de Panela (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-02-20,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-02-20,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
capitaobarbie,,2024-02-20,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
capitaobarbie,,2024-02-19,"Frango ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada de repolho cozida (x1)"
nathanaelbryan,,2024-02-19,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada de repolho cozida (x1)"
Duda,,2024-02-19,"Bife com purê (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada de repolho cozida (x1)"
francivaldo4334,,2024-02-19,"Bife com purê (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Beto,,2024-02-19,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Marciela,Ótima semana!! Seria possível me enviar um limão!! De ja agradeço,2024-02-19,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1)"
Eric,,2024-02-19,"Frango ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Andreiver,,2024-02-19,"Bife com purê (x1), Arroz branco (x1), Feijão (x1), Salada de repolho cozida (x1)"
Fernanda,,2024-02-19,"Frango ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
gabriel,,2024-02-19,"Bife com purê (x1), Arroz branco (x1), Macarrão (x1)"
gabriel,"Se a Salada verde tiver repolho, por favor, não enviar, obrigado!",2024-02-16,"Galinha ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-02-16,"Galinha ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-02-16,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
capitaobarbie,,2024-02-16,"Porco assado na panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Duda,,2024-02-16,"Porco assado na panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
danilo,,2024-02-16,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,,2024-02-16,"Porco assado na panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
Beto,,2024-02-16,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Marciela,Ótima sexta!,2024-02-16,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Salada verde (x1)"
francivaldo4334,,2024-02-16,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-02-16,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,,2024-02-15,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
nathanaelbryan,,2024-02-15,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
Duda,Mais salada por favor ,2024-02-15,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Marciela,Otimo dia 🙏,2024-02-15,"Galinha ao molho (x1), Arroz branco (x1), Farofa (x1), Salada verde (x1)"
francivaldo4334,,2024-02-15,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-02-15,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-02-15,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
capitaobarbie,,2024-02-15,"Galinha ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
gabriel,"Por favor, se tive repolho na salada verde, não enviar, obrigado!",2024-02-15,"Galinha ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-02-15,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
